"","site_name","latitude","longitude"
"132","Hawkeye-Pluma Mine",44.36135,-103.75696
"133","Harmony Mine",44.32913,-103.8178
"134","Hardscrabble Mine",44.32913,-103.82475
"135","Perseverance Mine",44.34996,-103.83558
"136","Pennsylvania Mine",44.35885,-103.80169
"137","Sundance Mine",44.32524,-103.81086
"138","Gunnison and Vulcan Mine",44.3419,-103.85002
"139","Leopard-Jessie Lee Mine",44.33996,-103.83586
"140","Little Bonanza Mine",44.33135,-103.81225
"141","Homestake",44.25552,-103.84669
"142","Hidden Fortune Mine",44.35857,-103.77641
"143","Omega Mine",44.36635,-103.76891
"144","Ross Hannibal Group",44.32274,-103.80086
"145","Hidden Treasure Group Mine",44.35857,-103.81114
"146","Snowstorm Mine",44.33663,-103.83558
"147","Dark Horse and General Grant",44.33913,-103.82364
"148","Deadwood - Golden Terra Mine",44.36468,-103.76808
"149","Durango Mine",44.35302,-103.77947
"150","Union Mine",44.32357,-103.79919
"151","Upper Welcome Mine",44.32913,-103.82752
"152","Juno Mine",44.34663,-103.85141
"153","Homestake Mine",44.35607,-103.76501
"154","Homestake Mine - 1944",44.36265,-103.79454
"155","Homestake Mine - 1948",44.36265,-103.79454
"156","Homestake Mine - 1950",44.36265,-103.79454
"157","Homestake Mine - 1951",44.36265,-103.79454
"158","Homestake Mine - 1953",44.36265,-103.79454
"159","Homestake Mine - 1956",44.36265,-103.79454
"160","Homestake Mine - 1958",44.36265,-103.79454
"161","Homestake Mine - 1960",44.36265,-103.79454
"162","Homestake Mine - 1962",44.36265,-103.79454
"163","Homestake Mine - 1965",44.36265,-103.79454
"164","Homestake Mine - 1967",44.36265,-103.79454
"165","Homestake Mine - 1969",44.36265,-103.79454
"166","Homestake Mine - 1971",44.36265,-103.79454
"167","Homestake Mine - 1974",44.36265,-103.79454
"168","Homestake Mine - 1976",44.36265,-103.79454
"169","Bismarck Property",44.32936,-103.75887
"170","Etta Tungsten Lode MS 1541",44.33666,-103.76477
"171","Portland",44.34416,-103.84448
"172","Tornado",44.33246,-103.81668
"173","Baltimore Mine MS 1648",44.33886,-103.83198
"174","Upper Welcome",44.32356,-103.82778
"175","Reliance",44.34216,-103.85778
"176","Foley #3",44.33666,-103.84338
"177","Finlander",44.33886,-103.82948
"178","Golden Reward",44.33416,-103.80448
"179","South Golden Reward",44.32966,-103.80198
"180","Ross Hannibal Group",44.32166,-103.80748
"181","National Gold & Silver Co",44.31996,-103.79278
"182","Pinney",44.36436,-103.76888
"183","Two Johns MS 1213",44.35966,-103.86138
"184","Apex",44.34306,-103.83638
"185","Monday Group  M.S.945",44.34306,-103.84138
"186","Black Diamond Group",44.36276,-103.83498
"187","Great Mogul Mine",44.32556,-103.81588
"188","Hidden Treasure  M.S.48",44.37166,-103.77278
"189","Dakota Group",44.34526,-103.85118
"190","South Dakota",44.34056,-103.86028
"191","Gladiator Mine",44.35886,-103.79058
"192","Esmeralda  M.S.1478",44.37436,-103.76918
"193","Glover",44.34076,-103.79388
"194","Mark Twain",44.34076,-103.84028
"195","Burlington & Golden Sands",44.34356,-103.83778
"196","Billy",44.32746,-103.80118
"197","Little Tornado",44.33466,-103.81868
"198","Ruby Belle MS 538",44.32526,-103.80028
"199","Union Mine",44.31186,-103.80948
"200","Double Standard",44.33356,-103.80618
"201","Astoria Shaft",44.31666,-103.80278
"202","Golden Bottle",44.35356,-103.85478
"203","Hardscrabble",44.33136,-103.82278
"204","Harrison Mine",44.35526,-103.77278
"205","Omega Mine  M.S.79",44.36576,-103.76808
"206","Deadwood-Terra",44.36136,-103.77748
"207","Homestake",44.35496,-103.75337
"208","Buxton",44.33746,-103.80388
"209","Gladstone",44.33136,-103.80278
"210","Daisy",44.33136,-103.81748
"211","Columbus",44.36936,-103.77558
"212","Monitor Mine",44.36246,-103.76087
"213","Foley #1",44.33576,-103.84778
"214","Leopard-Jessie Lee",44.34246,-103.83778
"215","Alpha - Platus",44.33606,-103.81638
"216","Clinton Ruby Basin",44.33666,-103.81308
"217","Trojan #4",44.33856,-103.83058
"218","Gentle Annie",44.36246,-103.75557
"219","Ben Hur Mine",44.33886,-103.82838
"220","Hidden Treasure Group M.S.1739",44.36076,-103.81248
"221","Empire State  M.S.357",44.34306,-103.83638
"222","Upper Welcome,Hardscrabble,Mogul,",44.32526,-103.81998
"223","Baltimore & Deadwood",44.37056,-103.75947
"224","Harmony",44.33136,-103.81998
"225","Trojan",44.34356,-103.83388
"226","Foley #2",44.33806,-103.84498
"227","Folger",44.34136,-103.83528
"228","Juno  M.S.1580",44.34606,-103.85618
"229","Boscobel",44.33436,-103.80728
"230","Whitewood Creek",44.34996,-103.75057
"231","Lundberg,Dorr & Wilson",44.33666,-103.80388
"232","Bismark Mine",44.34326,-103.78618
"233","Big Bonanza",44.33386,-103.80638
"234","Dividend",44.34526,-103.83088
"235","Bald Mountain Mine Wharf Mine",44.35466,-103.83278
"236","Johnson Gulch",44.35716,-103.83698
"237","Labrador",44.36636,-103.86528
"238","Little Bonanza",44.33246,-103.80528
"239","Gunnison and Vulcan",44.34026,-103.85058
"240","Durango Mine",44.35686,-103.77308
"241","Hawkeye-Pluma",44.36246,-103.75557
"242","Retriever",44.33666,-103.80808
"243","Isadorah  M.S.1062",44.31996,-103.80478
"244","Snowstorm",44.33746,-103.83478
"245","Stewart",44.33326,-103.80338
"246","Perseverance",44.34246,-103.83668
"247","Wharf Mine",44.35556,-103.83808
"248","Clinton Upper Portland",44.34306,-103.83918
"249","Alameda",44.25936,-103.83338
"250","Sundance MS 899",44.32686,-103.80808
"251","Pennsylvania",44.35826,-103.80118
"252","American Eagle",44.35246,-103.83558
"253","Dark Horse and General Grant",44.33886,-103.82308
"254","Placers of Deadwood",44.37306,-103.77168
"255","Winner Mine",44.39829,-104.02614
"256","Black Hills Tin Company",44.37932,-104.05256
"257","Black Hills Tin Company",44.37936,-104.05198
"258","Winner Mining Company",44.39996,-104.02448
"259","Maitland Mine",44.39135,-103.79558
"260","Adelphi Mine",44.39968,-103.86614
"261","Minnesota Group",44.39885,-103.80669
"262","Carroll Mine",44.38107,-103.78669
"263","American Express Mine",44.38024,-103.77975
"264","Minerva Mine",44.38024,-103.76947
"265","Segregated Iron Hill Mine",44.39996,-103.86169
"266","Deadbroke Mine",44.37774,-103.76836
"267","Eagle Number 4 Mine",44.41663,-103.77058
"268","Wells Fargo Mine",44.38079,-103.7853
